國文,英文,數學,社會,自然
7,7,13,9,11
6,9,10,14,12
10,13,14,15,10
13,11,10,7,8
8,15,8,13,9
7,8,13,12,9
15,15,12,11,8
10,10,15,6,13
7,7,6,14,7
7,7,7,15,6
12,15,11,11,14
15,13,15,7,11
9,10,12,11,9
14,9,7,6,9
9,11,8,13,6
8,10,12,6,6
15,14,11,12,15
9,6,15,12,14
10,8,13,12,12
11,11,11,14,10
12,9,14,11,10
7,14,9,13,13
10,12,8,12,11
8,10,7,15,9
13,13,9,14,11
7,14,6,14,11
11,9,10,7,8
8,11,8,6,8
8,10,13,8,6
6,9,13,8,6
6,13,7,14,10
7,13,6,9,6
9,9,14,13,6
10,7,9,7,13
14,8,7,10,6
13,11,10,13,6
9,9,12,10,6
9,13,10,12,11
6,10,10,12,10
10,13,9,6,14
14,8,7,9,7
14,8,15,10,8
13,8,10,6,8
15,10,8,9,14
8,8,8,7,8
14,14,8,7,6
11,10,6,9,12
10,9,6,12,11
15,12,13,11,8
12,13,13,9,11
14,7,12,14,9
11,15,8,13,15
12,15,13,10,14
9,12,10,11,13
12,12,7,14,15
14,13,14,12,9
15,15,14,13,14
8,8,8,9,8
6,14,9,15,11
7,7,7,6,9
13,14,14,9,14
11,8,6,8,12
8,8,14,12,6
10,11,6,15,11
14,11,14,14,11
8,6,8,8,12
10,14,12,14,13
13,9,8,10,13
14,12,15,9,14
12,14,14,13,13
12,6,14,7,15
8,14,8,12,12
14,7,7,6,6
11,8,14,11,11
6,8,12,11,10
12,15,12,10,15
15,13,7,8,8
9,14,10,14,6
9,7,8,7,7
10,7,10,10,10
13,11,8,9,12
6,9,14,6,10
8,15,9,9,10
14,14,14,10,10
6,6,6,6,7
11,10,13,8,6
7,7,14,10,6
14,8,13,8,11
11,14,6,11,10
6,14,6,9,10
7,15,6,13,12
13,9,10,15,11
11,10,6,12,6
8,15,7,11,15
8,8,8,14,10
9,10,6,11,8
8,12,8,14,11
15,14,10,8,7
15,8,13,13,10
15,8,11,10,6
